k1 / k2;1;2;3;4;5;6;8;12;24;25
1;161.45;199.5;215.72;224.57;230.17;233.97;238.89;243.91;249.04;254.32
2;18.51;19;19.16;19.25;19.3;19.33;19.37;19.41;19.45;19.5
3;10.13;9.55;9.28;9.12;9.01;8.94;8.84;8.74;8.64;8.53
4;7.71;6.94;6.59;6.39;6.26;6.16;6.04;5.91;5.77;5.63
5;6.61;5.79;5.41;5.19;5.05;4.95;4.82;4.68;4.53;4.36
6;5.99;5.14;4.76;4.53;4.39;4.28;4.15;4;3.84;3.67
7;5.59;4.74;4.35;4.12;3.97;3.87;3.73;3.57;3.41;3.23
8;5.32;4.46;4.07;3.84;3.69;3.58;3.44;3.28;3.12;2.93
9;5.12;4.26;3.86;3.63;3.48;3.37;3.23;3.07;2.9;2.71
10;4.96;4.1;3.71;3.48;3.33;3.22;3.07;2.91;2.74;2.54
11;4.84;3.98;3.59;3.36;3.2;3.09;2.95;2.79;2.61;2.4
12;4.75;3.88;3.49;3.26;3.11;3;2.85;2.69;2.5;2.3
13;4.67;3.8;3.41;3.18;3.02;2.92;2.77;2.6;2.42;2.21
14;4.6;3.74;3.34;3.11;2.96;2.85;2.7;2.53;2.35;2.13
15;4.54;3.68;3.29;3.06;2.9;2.79;2.64;2.48;2.29;2.07
16;4.49;3.63;3.24;3.01;2.85;2.74;2.59;2.42;2.24;2.01
17;4.45;3.59;3.2;2.96;2.81;2.7;2.55;2.38;2.19;1.96
18;4.41;3.55;3.16;2.93;2.77;2.66;2.51;2.34;2.15;1.92
19;4.38;3.52;3.13;2.9;2.74;2.63;2.48;2.31;2.11;1.88
20;4.35;3.49;3.1;2.87;2.71;2.6;2.45;2.28;2.08;1.84
21;4.32;3.47;3.07;2.84;2.68;2.57;2.42;2.25;2.05;1.81
22;4.3;3.44;3.05;2.82;2.66;2.55;2.4;2.23;2.03;1.78
23;4.28;3.42;3.03;2.8;2.64;2.53;2.38;2.2;2;1.76
24;4.26;3.4;3.01;2.78;2.62;2.51;2.36;2.18;1.98;1.73
25;4.24;3.38;2.99;2.76;2.6;2.49;2.34;2.16;1.96;1.71
26;4.22;3.37;2.98;2.74;2.59;2.47;2.32;2.15;1.95;1.69
27;4.21;3.35;2.96;2.73;2.57;2.46;2.3;2.13;1.93;1.67
28;4.2;3.34;2.95;2.71;2.56;2.44;2.29;2.12;1.91;1.65
29;4.18;3.33;2.93;2.7;2.54;2.43;2.28;2.1;1.9;1.64
30;4.17;3.32;2.92;2.69;2.53;2.42;2.27;2.09;1.89;1.62
35;4.12;3.26;2.87;2.64;2.48;2.37;2.22;2.04;1.83;1.57
40;4.08;3.23;2.84;2.61;2.45;2.34;2.18;2;1.79;1.51
45;4.06;3.21;2.81;2.58;2.42;2.31;2.15;1.97;1.76;1.48
50;4.03;3.18;2.79;2.56;2.4;2.29;2.13;1.95;1.74;1.44
60;4;3.15;2.76;2.52;2.37;2.25;2.1;1.92;1.7;1.39
70;3.98;3.13;2.74;2.5;2.35;2.23;2.07;1.89;1.67;1.35
80;3.96;3.11;2.72;2.49;2.33;2.21;2.06;1.88;1.65;1.31
90;3.95;3.1;2.71;2.47;2.32;2.2;2.04;1.86;1.64;1.28
100;3.94;3.09;2.7;2.46;2.3;2.19;2.03;1.85;1.63;1.26
125;3.92;3.07;2.68;2.44;2.29;2.17;2.01;1.83;1.6;1.21
150;3.9;3.06;2.66;2.43;2.27;2.16;2;1.82;1.59;1.18
200;3.89;3.04;2.65;2.42;2.26;2.14;1.98;1.8;1.57;1.14
300;3.87;3.03;2.64;2.41;2.25;2.13;1.97;1.79;1.55;1.1
400;3.86;3.02;2.63;2.4;2.24;2.12;1.96;1.78;1.54;1.07
500;3.86;3.01;2.62;2.39;2.23;2.11;1.96;1.77;1.54;1.06
1000;3.85;3;2.61;2.38;2.22;2.1;1.95;1.76;1.53;1.03
2000;3.84;2.99;2.6;2.37;2.21;2.09;1.94;1.75;1.52;1