step;n;0.90;0.95;0.99;0.999
1;2;6.3137515148;12.7062047364;63.6567411629;636.619249432
2;3;2.91998558036;4.30265272991;9.92484320092;31.599054577
3;4;2.3533634348;3.18244630528;5.84090929976;12.9239786366
4;5;2.13184678134;2.7764451052;4.60409487142;8.61030158138
5;6;2.01504837267;2.57058183661;4.03214298356;6.86882663987
6;7;1.94318028039;2.44691184879;3.70742802132;5.95881617993
7;8;1.89457860506;2.36462425101;3.49948329735;5.40788252098
8;9;1.85954803752;2.30600413503;3.35538733133;5.04130543339
9;10;1.83311293265;2.26215716274;3.24983554402;4.78091258593
10;11;1.81246112281;2.22813885196;3.16927266718;4.5868938587
11;12;1.7958848187;2.20098516008;3.10580651322;4.43697933823
12;13;1.78228755565;2.17881282966;3.05453958834;4.31779128361
13;14;1.77093339599;2.16036865646;3.01227583821;4.22083172771
14;15;1.76131013577;2.14478668792;2.97684273411;4.14045411274
15;16;1.75305035569;2.13144954556;2.94671288334;4.0727651959
16;17;1.74588367628;2.11990529922;2.92078162235;4.0149963326
17;18;1.73960672608;2.10981557783;2.89823051963;3.96512626361
18;19;1.73406360662;2.10092204024;2.87844047271;3.92164582001
19;20;1.72913281152;2.09302405441;2.86093460645;3.88340584948
20;21;1.72471824292;2.08596344727;2.84533970978;3.84951627298
21;22;1.72074290281;2.07961384473;2.83135955802;3.81927716303
22;23;1.71714437438;2.0738730679;2.8187560606;3.79213067089
23;24;1.71387152775;2.06865761042;2.80733568377;3.76762680377
24;25;1.71088207991;2.06389856163;2.79693950477;3.74539861893
25;26;1.70814076125;2.05953855275;2.78743581368;3.72514394948
26;27;1.70561791976;2.05552943864;2.77871453333;3.70661174331
27;28;1.70328844572;2.05183051648;2.77068295712;3.68959171334
28;29;1.70113093427;2.0484071418;2.76326245546;3.67390640062
29;30;1.69912702653;2.04522964213;2.75638590367;3.6594050194
30;31;1.69726089436;2.0422724563;2.74999565357;3.645958635
40;41;1.68385101139;2.021075383;2.70445926743;3.55096576086
60;61;1.67064886465;2.00029782106;2.66028303115;3.4602004692
120;121;1.65765089935;1.97993040505;2.61742114477;3.37345376507
999999.0;1000000.0;1.64485515072;1.95996635682;2.57583422011;3.29053646126